class.error,method,genus
1,RF,Aphantophryne
0.1,RF,Asterophrys
0.12,RF,Austrochaperina
0,RF,Barygenys
0.014925373,RF,Callulops
0.121212121,RF,Choerophryne
0.226415094,RF,Cophixalus
0.136363636,RF,Copiula
0,RF,Gastrophrynoides
0.047619048,RF,Hylophorbus
0.25,RF,Mantophryne
0.2,RF,Oreophryne
0,RF,Paedophryne
0.363636364,RF,Siamophryne
1,RF,Sphenophryne
1,RF,Vietnamophryne
0.04,RF,Xenorhina
0.7,LDA,Aphantophryne
0,LDA,Asterophrys
0.192307692,LDA,Austrochaperina
0,LDA,Barygenys
0,LDA,Callulops
0.133333333,LDA,Choerophryne
0.225,LDA,Cophixalus
0.086956522,LDA,Copiula
0,LDA,Gastrophrynoides
0.208333333,LDA,Hylophorbus
0,LDA,Mantophryne
0.314814815,LDA,Oreophryne
0,LDA,Paedophryne
0.25,LDA,Siamophryne
0.333333333,LDA,Sphenophryne
1,LDA,Vietnamophryne
0,LDA,Xenorhina
0.7,FDA,Aphantophryne
0,FDA,Asterophrys
0.192307692,FDA,Austrochaperina
0,FDA,Barygenys
0,FDA,Callulops
0.133333333,FDA,Choerophryne
0.25,FDA,Cophixalus
0.086956522,FDA,Copiula
0,FDA,Gastrophrynoides
0.166666667,FDA,Hylophorbus
0,FDA,Mantophryne
0.314814815,FDA,Oreophryne
0,FDA,Paedophryne
0.25,FDA,Siamophryne
0.333333333,FDA,Sphenophryne
1,FDA,Vietnamophryne
0,FDA,Xenorhina